Product 01: Product Name = Oppo F15 Antishock Drop Resistance Transparent TPU Case Silicone Back Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = Future Accessories, URL = https://www.daraz.pk/products/f15-tpu-i204044852-s1404522883.html?search=1, Price Details = Original: Rs. 399, Discounted: Rs. 149, Positive Seller Ratings = 91%, Ship on Time = 99%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 02: Product Name = High Quality Retro Magnetic Flip Leather Case For Apple iPhone 12 Pro Max Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/12-i231671214-s1451407326.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 04: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy A70 Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/a70-i231673154-s1451412302.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 05: Product Name = Vivo V20 SE Black Soft Silicon Back Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = Future Accessories, URL = https://www.daraz.pk/products/v20-se-i448779885-s2138722752.html?search=1, Price Details = Original: Rs. 249, Discounted: Rs. 169, Positive Seller Ratings = 91%, Ship on Time = 99%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 06: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy S21 Ultra 5G Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/s21-5g-i231663589-s1451413306.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 07: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy Note 20 Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/20-i231665474-s1451415151.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 10: Product Name = Vivo Y21 Airbag Case Anti Shock and Anti-Scratch Resistant Clear View Transparent Silicone Back Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = GADGETERZ, URL = https://www.daraz.pk/products/y21-i269488888-s1483424899.html?search=1, Price Details = Original: Rs. 399, Discounted: Rs. 149 | Original: Rs. 399, Discounted: Rs. 149, Positive Seller Ratings = 90%, Ship on Time = 94%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 12: Product Name = High Quality Retro Magnetic Flip Leather Case For Oppo F19 | Oppo F19s | Oppo A74 4G | Oppo A95 4G | Oppo Reno6 Lite 4G Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/high-quality-retro-magnetic-flip-leather-case-for-oppo-f19-oppo-f19s-oppo-a74-4g-oppo-a95-4g-oppo-reno6-lite-4g-phone-case-wallet-card-cover-i380231762-s1873959269.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 16: Product Name = Google Pixel 4XL TPU Silicone Soft Thin Back Case Cover Without Bumper Google Pixel 4XL- Clear, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = QB Onilne Store, URL = https://www.daraz.pk/products/4xl-tpu-4xl-i463128916-s2192111493.html?search=1, Price Details = Original: Rs. 400, Discounted: Rs. 201, Positive Seller Ratings = 90%, Ship on Time = 42%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 17: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy A14 5G Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/high-quality-retro-magnetic-flip-leather-case-for-samsung-galaxy-a14-5g-phone-case-wallet-card-cover-i380239478-s1873966415.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
Product 19: Product Name = High Quality Retro Magnetic Flip Leather Case For Samsung Galaxy A73 5G Phone Case Wallet Card Cover, Product Category = Mobiles & Tablets/Mobile Accessories/Phone Cases, Brand Name = No Brand, Seller Name = HCAXY, URL = https://www.daraz.pk/products/high-quality-retro-magnetic-flip-leather-case-for-samsung-galaxy-a73-5g-phone-case-wallet-card-cover-i365296196-s1817378477.html?search=1, Price Details = Original: Rs. 2279, Discounted: Rs. 1322, Positive Seller Ratings = 92%, Ship on Time = 100%, Return Policy = 14 days free & easy return (Change of mind is not applicable)
