Product Number,Product Name,Product Category,Brand Name,Seller Name,Price Details,Positive Seller Ratings,Ship on Time,Return Policy
Product 01,Customized Wrist Watch with Photo|Logo & Name,Watches Sunglasses Jewellery/Watches/Men/Fashion,No Brand,Personalized Memories,"Original: Rs. 999, Discounted: Rs. 585",88%,100%,14 days free & easy return (Change of mind is not applicable)
Product 02,Black and Brown stylish Rubber|Silicon Strap Watch for boys & Girls with Box  Watches for men,Watches Sunglasses Jewellery/Watches/Men/Fashion,No Brand,Modern watch company,"Original: Rs. 2100, Discounted: Rs. 599 | Original: Rs. 900, Discounted: Rs. 500 | Original: Rs. 1900, Discounted: Rs. 850 | Original: Rs. 940, Discounted: Rs. 450 | Original: Rs. 750, Discounted: Rs. 450",79%,97%,14 days free & easy return (Change of mind is not applicable)
Product 03,Sports Digtal Fashion Watch Women Men Square LED Watch Silicone Electronic Watch Women's Watches Clock,Watches Sunglasses Jewellery/Watches/Men/Sports,No Brand,Modern watch company,"Original: Rs. 899, Discounted: Rs. 300 | Original: Rs. 650, Discounted: Rs. 199",79%,97%,14 days free & easy return (Change of mind is not applicable)
Product 04,Men Quartz Watch for Waterproof Vacuum Plating Strap with Car Wheel Rim Hub Design Sport Automatic Wristwatch (Does not rotate),Watches Sunglasses Jewellery/Watches/Men/Fashion,No Brand,D&K Online,"Original: Rs. 3999, Discounted: Rs. 1768 | Original: Rs. 3999, Discounted: Rs. 1869 | Original: Rs. 3999, Discounted: Rs. 1769 | Original: Rs. 3999, Discounted: Rs. 1768 | Original: Rs. 3999, Discounted: Rs. 1868",82%,100%,14 days free & easy return (Change of mind is not applicable)
Product 05,Samsung Galaxy A04 3GB - 32GB OFFICIAL PTA APPROVED NON ACTIVE OFFICIAL WARRANTY,Mobiles & Tablets/Mobiles,Samsung,Samsung Official,"Original: Rs. 31499, Discounted: Rs. 18999",84%,65%,14 days free & easy return (Change of mind is not applicable)
Product 06,Luxury Ladies Watch for Women Clock Female Women's Dress Quartz Waterproof Wristwatches Dual Calendar Glow Gift,Watches Sunglasses Jewellery/Watches/Women/Fashion,No Brand,Pink Girl Store,"Original: Rs. 1017, Discounted: Rs. 624",90%,100%,14 days free & easy return (Change of mind is not applicable)
Product 07,Casual Fashion Wrist Watch Rubber Straps Men Quartz Watch For Boys & Men,Watches Sunglasses Jewellery/Watches/Men/Casual,No Brand,New-Gen,"Original: Rs. 999, Discounted: Rs. 750 | Original: Rs. 999, Discounted: Rs. 680 | Original: Rs. 999, Discounted: Rs. 720 | Original: Rs. 699, Discounted: Rs. 598 | Original: Rs. 999, Discounted: Rs. 700",89%,94%,14 days free & easy return (Change of mind is not applicable)
Product 08,"OMG's Stylish watch for men , steel Built Design , Heavy Weight Watch in Fashion and for Casual use",Watches Sunglasses Jewellery/Watches/Men/Fashion,No Brand,OMGs,"Original: Rs. 2500, Discounted: Rs. 2199",96%,100%,14 days free & easy return (Change of mind is not applicable)
Product 09,100% Imported Premium Quality Watch For Men And Boys New Design 2023,Watches Sunglasses Jewellery/Watches/Men/Business,No Brand,New Choice Corner,"Original: Rs. 900, Discounted: Rs. 333",84%,63%,14 days free & easy return (Change of mind is not applicable)
Product 10,2022 trend full-automatic quartz movement men's watch wheel non mechanical watch wrist watch fashion men's watch,Watches Sunglasses Jewellery/Watches/Men/Fashion,No Brand,lamgool Electronic,"Original: Rs. 1836, Discounted: Rs. 1410",81%,100%,14 days free & easy return (Change of mind is not applicable)
